78.29.2.32, -, 30.07.2009, 13:34:11, W3SVC37, BABBAGE, 194.226.235.251, 172, 423, 650, 200, 0, GET, /default.htm, -,
78.29.2.32, -, 30.07.2009, 13:34:11, W3SVC37, BABBAGE, 194.226.235.251, 0, 410, 251, 404, 2, GET, /favicon.ico, -,
194.226.235.185, -, 30.07.2009, 15:06:48, W3SVC37, BABBAGE, 194.226.235.251, 0, 776, 207, 304, 0, GET, /default.htm, -,
94.24.208.22, -, 30.07.2009, 16:57:06, W3SVC37, BABBAGE, 194.226.235.251, 0, 627, 231, 304, 0, GET, /default.htm, -,
94.24.208.22, -, 30.07.2009, 16:57:06, W3SVC37, BABBAGE, 194.226.235.251, 0, 410, 251, 404, 2, GET, /favicon.ico, -,
94.24.208.22, -, 30.07.2009, 16:57:38, W3SVC37, BABBAGE, 194.226.235.251, 0, 570, 228, 500, 1722, GET, /x.asp, Out-of-process+ISAPI+extension+request+failed.,
94.24.208.22, -, 30.07.2009, 17:04:52, W3SVC37, BABBAGE, 194.226.235.251, 125, 627, 1263, 200, 0, GET, /default.htm, -,
94.24.208.22, -, 30.07.2009, 17:04:52, W3SVC37, BABBAGE, 194.226.235.251, 156, 484, 770, 200, 0, GET, /style/default.css, -,
94.24.208.22, -, 30.07.2009, 17:04:55, W3SVC37, BABBAGE, 194.226.235.251, 188, 620, 1199, 200, 0, GET, /default.htm, -,
94.24.208.22, -, 30.07.2009, 17:07:35, W3SVC37, BABBAGE, 194.226.235.251, 0, 577, 165, 304, 0, GET, /default.htm, -,
94.24.208.22, -, 30.07.2009, 17:07:39, W3SVC37, BABBAGE, 194.226.235.251, 0, 584, 166, 304, 0, GET, /style/default.css, -,
94.24.208.18, -, 30.07.2009, 17:34:11, W3SVC37, BABBAGE, 194.226.235.251, 16, 551, 165, 304, 0, GET, /default.htm, -,
94.24.208.18, -, 30.07.2009, 17:34:11, W3SVC37, BABBAGE, 194.226.235.251, 0, 557, 166, 304, 0, GET, /style/default.css, -,
94.24.208.18, -, 30.07.2009, 17:44:23, W3SVC37, BABBAGE, 194.226.235.251, 16, 627, 0, 302, 0, GET, /default.asp, -,
94.24.208.18, -, 30.07.2009, 17:44:46, W3SVC37, BABBAGE, 194.226.235.251, 172, 573, 923, 200, 0, GET, /news.xml, -,
94.24.208.18, -, 30.07.2009, 17:44:46, W3SVC37, BABBAGE, 194.226.235.251, 93, 416, 816, 200, 0, GET, /patterns/news.xsl, -,
94.24.208.18, -, 30.07.2009, 17:44:46, W3SVC37, BABBAGE, 194.226.235.251, 79, 418, 947, 200, 0, GET, /patterns/header.xsl, -,
94.24.208.18, -, 30.07.2009, 17:44:46, W3SVC37, BABBAGE, 194.226.235.251, 78, 422, 938, 200, 0, GET, /patterns/navigation.xsl, -,
94.24.208.18, -, 30.07.2009, 17:44:46, W3SVC37, BABBAGE, 194.226.235.251, 78, 418, 810, 200, 0, GET, /patterns/footer.xsl, -,
94.24.208.18, -, 30.07.2009, 17:44:47, W3SVC37, BABBAGE, 194.226.235.251, 1203, 554, 772, 200, 0, GET, /style/default.css, -,
94.24.208.18, -, 30.07.2009, 17:45:07, W3SVC37, BABBAGE, 194.226.235.251, 0, 660, 164, 304, 0, GET, /news.xml, -,
94.24.208.20, -, 30.07.2009, 18:38:52, W3SVC37, BABBAGE, 194.226.235.251, 16, 565, 0, 302, 0, GET, /default.asp, -,
